          23            (-0.32545627285523304,-0.0000000000000000)         (5.37751084727991630E-002,0.0000000000000000)       (0.39857954207965163,-9.70376737024809255E-002)  (-6.58536960905627133E-002,1.60326557678257056E-002)
          24            (-0.32497950722641711,-0.0000000000000000)         (5.36963327298955462E-002,0.0000000000000000)            (0.39799565574418871,-0.10120855312515073)  (-6.57572258404260923E-002,1.67217724859640704E-002)
          25            (-0.32448269533093144,-0.0000000000000000)         (5.36142447442485431E-002,0.0000000000000000)            (0.39738721916169384,-0.10537318952743316)  (-6.56566993749012062E-002,1.74098577264080179E-002)
          26            (-0.32396586781457148,-0.0000000000000000)         (5.35288495794554453E-002,0.0000000000000000)            (0.39675426986395002,-0.10953132601508808)  (-6.55521228948496015E-002,1.80968690448178003E-002)
          27            (-0.32342905655706222,-0.0000000000000000)         (5.34401525030577182E-002,0.0000000000000000)            (0.39609684689376745,-0.11368270609463837)  (-6.54435028510887973E-002,1.87827640630990125E-002)
          28            (-0.32287229467188117,-0.0000000000000000)         (5.33481589863378652E-002,0.0000000000000000)            (0.39541499080404729,-0.11782707368928738)  (-6.53308459438035893E-002,1.94675004720216288E-002)
          29            (-0.32229561650299832,-0.0000000000000000)         (5.32528747038684552E-002,0.0000000000000000)            (0.39470874365524466,-0.12196417315505839)  (-6.52141591221902794E-002,2.01510360338134770E-002)
          30            (-0.32169905762189888,-0.0000000000000000)         (5.31543055332529477E-002,0.0000000000000000)            (0.39397814901208739,-0.12609374929616626)  (-6.50934495840616856E-002,2.08333285847839486E-002)
          31            (-0.32108265482794773,-0.0000000000000000)         (5.30524575546957450E-002,0.0000000000000000)            (0.39322325194121943,-0.13021554738083899)  (-6.49687247753739372E-002,2.15143360379168799E-002)
          32            (-0.32044644614351425,-0.0000000000000000)         (5.29473370506594251E-002,0.0000000000000000)            (0.39244409900738086,-0.13432931315720664)  (-6.48399923896668673E-002,2.21940163854540025E-002)
          33            (-0.31979047081229772,-0.0000000000000000)         (5.28389505054581432E-002,0.0000000000000000)            (0.39164073827314150,-0.13843479286880875)  (-6.47072603678407188E-002,2.28723277015221438E-002)
          34            (-0.31911476929889482,-0.0000000000000000)         (5.27273046048947203E-002,0.0000000000000000)            (0.39081321929339291,-0.14253173327023486)  (-6.45705368973992083E-002,2.35492281446825144E-002)
          35            (-0.31841938328346925,-0.0000000000000000)         (5.26124062358396122E-002,0.0000000000000000)            (0.38996159311310136,-0.14661988164296452)  (-6.44298304120680537E-002,2.42246759605227666E-002)
          36            (-0.31770435566048666,-0.0000000000000000)         (5.24942624857170498E-002,0.0000000000000000)            (0.38908591226536138,-0.15069898581072150)  (-6.42851495913141224E-002,2.48986294842368575E-002)
          37            (-0.31696973053609750,-0.0000000000000000)         (5.23728806422120580E-002,0.0000000000000000)            (0.38818623076526093,-0.15476879415540745)  (-6.41365033597026957E-002,2.55710471431995698E-002)
          38            (-0.31621555322584871,-0.0000000000000000)         (5.22482681927383397E-002,0.0000000000000000)            (0.38726260411032876,-0.15882905563163396)  (-6.39839008864839520E-002,2.62418874595308979E-002)
